Species ID,Common Names
CHIS-1487,Yellowfin Fringehead
CHIS-1488,Onespot Fringehead
CHIS-1489,Scythe Butterflyfish
CHIS-1490,None
CHIS-1491,Spotted Kelpfish
CHIS-1492,Crevice Kelpfish
CHIS-1493,Striped Kelpfish
CHIS-1494,Giant Kelpfish
CHIS-1495,Barred Surfperch
CHIS-1496,Calico Surfperch
CHIS-1497,Kelp Perch
CHIS-1498,Shiner Perches
CHIS-1499,Shiner Perch
CHIS-1500,None
CHIS-1501,Black Perch
CHIS-1502,Striped Seaperch
CHIS-1503,Spotfin Surfperch
CHIS-1504,Walleye Surfperch
CHIS-1505,Silver Surfperch
CHIS-1506,Rainbow Seaperch
CHIS-1507,Reef Perch
CHIS-1508,Dwarf Perch
CHIS-1509,Sharpnose Seaperch
CHIS-1510,White Seaperch
CHIS-1511,Rubberlip Seaperch
CHIS-1512,Pile Perch
CHIS-1513,Pink Seaperch
CHIS-1514,Lined Clingfish
CHIS-1515,Northern Clingfish
CHIS-1516,California Clingfish
CHIS-1517,None
CHIS-1518,Slender Clingfish
CHIS-1519,Kelp Clingfish
CHIS-1520,Tidewater Goby
CHIS-1521,Bay Goby
CHIS-1522,Halfblind Goby
CHIS-1523,Bluebanded Goby
CHIS-1524,Zebra Goby
CHIS-1525,Blackeye Goby
CHIS-1526,Blind Goby
CHIS-1527,Ragfish
CHIS-1528,Striped Marlin
CHIS-1529,Opaleye
CHIS-1530,Zebra Perch
CHIS-1531,Halfmoon
CHIS-1532,Rock Wrasse
CHIS-1533,Se_Orita
CHIS-1534,California Sheephead
CHIS-1535,Island Kelpfish
CHIS-1536,Deepwater Blenny
CHIS-1537,Reef Finspot
CHIS-1538,Ocean Whitefish
CHIS-1539,Rockweed Gunnel
CHIS-1540,Kelp Gunnel
CHIS-1541,Giant Sea Bass
CHIS-1542,Swallowtail Damselfish
CHIS-1543,Blacksmith
CHIS-1544,Garibaldi
CHIS-1545,White Seabass
CHIS-1546,Black Croaker
CHIS-1547,Spotfin Croaker
CHIS-1548,Queenfish
CHIS-1549,Pacific Bonito
CHIS-1550,Pacific Chub Mackerel
CHIS-1551,Kelp Bass
CHIS-1552,Spotted Sand Bass
CHIS-1553,Barred Sand Bass
CHIS-1554,Pacific Barracuda
CHIS-1555,High Cockscomb
CHIS-1556,Monkeyface Prickleback
CHIS-1557,Mosshead Warbonnet
CHIS-1558,Masked Prickleback
CHIS-1559,Threeline Prickleback
CHIS-1560,Twoline Prickleback
CHIS-1561,Crisscross Prickleback
CHIS-1562,Black Prickleback
CHIS-1563,Pacific Scabbardfish
CHIS-1564,Smooth Stargazer
CHIS-1565,Swordfish
CHIS-1566,Bigfin Eelpout
CHIS-1567,"Lefteye Flounders, Lefteyed Flounders"
CHIS-1568,Rock Sole
CHIS-1569,California Tonguefish
CHIS-1570,"Sanddabs, Whiffs"
CHIS-1571,Gulf Sanddab
CHIS-1572,Pacific Sanddab
CHIS-1573,Speckled Sanddab
CHIS-1574,Longfin Sanddab
CHIS-1575,Bigmouth Sole
CHIS-1576,California Halibut
CHIS-1577,Fantail Sole
CHIS-1578,Petrale Sole
CHIS-1579,Rex Sole
CHIS-1580,Rock Sole
CHIS-1581,Slender Sole
CHIS-1582,Dover Sole
CHIS-1583,English Sole
CHIS-1584,Starry Flounder
CHIS-1585,C-O Sole
CHIS-1586,Curlfin Turbot
CHIS-1587,Diamond Turbot
CHIS-1588,Spotted Turbot
CHIS-1589,Hornyhead Turbot
CHIS-1590,Big Skate
CHIS-1591,California Skate
CHIS-1592,Longnose Skate
CHIS-1593,Starry Skate
CHIS-1594,Thornback
CHIS-1595,Shovelnose Guitarfish
CHIS-1596,Southern Spearnose Poacher
CHIS-1597,Pygmy Poacher
